"Path 1","Path 2","Path 3","Path 4","URLs","0","1","2","3","4","5","6","7","8","9","10+"
"https/","","","","82","1","22","13","12","0","0","0","0","0","0","0"
"","wastefalcon.com/","","","82","1","22","13","12","0","0","0","0","0","0","0"
"","","wp-content/","","33","0","0","0","0","0","0","0","0","0","0","0"
"","","","uploads/","11","0","0","0","0","0","0","0","0","0","0","0"
"","","","litespeed/","22","0","0","0","0","0","0","0","0","0","0","0"
"","","tag/","","12","0","0","0","12","0","0","0","0","0","0","0"
"","","category/","","4","0","0","4","0","0","0","0","0","0","0","0"
"","","","residential-junk-removal/","1","0","0","1","0","0","0","0","0","0","0","0"
"","","","construction-waste-disposal/","1","0","0","1","0","0","0","0","0","0","0","0"
"","","","commercial-dumpster-rental/","1","0","0","1","0","0","0","0","0","0","0","0"
"","","","college-station-commercial-dumpster-rental/","1","0","0","1","0","0","0","0","0","0","0","0"
"","","cdn-cgi/","","2","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rental-rockdale/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","pricing/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rentals-in-madisonville-tx/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rentals-college-station/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rental-brenham/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","junk-removal-navasota/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","contact/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rentals-hearne/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","hearne-tx-junk-removal/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","junk-removal-cameron/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","blog/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rental-cameron/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","junk-removal-madisonville-tx/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","bryan/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","terms/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","roll-off-dumpster/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","rent-a-dumpster-navasota/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","pricing","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","junk-removal-rockdale/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-size/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","dumpster-rental-vs-junk-removal/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","college-station-commercial-dumpster-rental-guide/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","how-to-get-the-most-out-of-your-15-yard-roll-off-dumpster-rental/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","hoarder-cleanout-services-texas/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","construction-dumpster-rental-college-station-tx/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","author/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","appliance-removal-service-college-station/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","junk-removal-brenham/","","1","0","1","0","0","0","0","0","0","0","0","0"
"","","bryan-and-college-station-construction-waste-disposal/","","1","0","0","1","0","0","0","0","0","0","0","0"
"","","what-you-can-and-cant-toss-in-a-10-yard-roll-off-dumpster/","","1","0","0","1","0","0","0","0","0","0","0","0"
